iter	Passed	Remaining
0	2	230
1	4	231
2	6	210
3	7	191
4	9	184
5	11	179
6	13	173
7	15	173
8	17	178
9	19	176
10	21	172
11	23	169
12	24	165
13	26	162
14	28	161
15	30	158
16	32	156
17	33	154
18	35	151
19	37	150
20	39	147
21	41	146
22	43	146
23	45	143
24	46	140
25	48	136
26	49	132
27	50	129
28	51	126
29	52	123
30	53	119
31	54	116
32	55	113
33	57	110
34	58	107
35	59	105
36	60	102
37	61	100
38	62	98
39	63	95
40	64	93
41	65	89
42	66	87
43	67	85
44	67	83
45	69	81
46	70	79
47	71	77
48	72	75
49	73	73
50	75	72
51	77	71
52	78	69
53	79	67
54	80	65
55	81	63
56	82	62
57	83	60
58	84	58
59	85	57
60	86	55
61	88	53
62	89	52
63	90	50
64	91	49
65	93	48
66	94	46
67	95	44
68	96	43
69	97	41
70	98	40
71	99	38
72	100	37
73	101	35
74	102	34
75	104	32
76	105	31
77	106	30
78	107	28
79	108	27
80	109	25
81	110	24
82	111	22
83	112	21
84	113	20
85	114	18
86	115	17
87	116	15
88	118	14
89	119	13
90	120	11
91	122	10
92	123	9
93	124	7
94	125	6
95	126	5
96	127	3
97	128	2
98	129	1
99	130	0
